
,providerId,locationId,organisationType,type,name,region,postalCode,onspdLatitude,onspdLongitude,rating_overall,reportDate,rating_caring,rating_effective,rating_responsive,rating_safe,rating_wellled,URL,Location_type,Location_subtype,Report_URL,Corpus_duplication_check
18,1-274331683,9999,Provider,Independent Healthcare Org,First Community Health & Care C.I.C.,South East,RH1 6YS,51.235608,-0.170767,Outstanding,8/18/2017,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/provider/1-274331683,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG4287.pdf,included
19,1-286186558,9999,Provider,Independent Healthcare Org,East Coast Community Healthcare C.I.C.,East,NR32 1DE,52.475565,1.75463,Good,3/22/2017,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/1-286186558,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG3845.pdf,included
20,1-290660061,9999,Provider,Independent Healthcare Org,Sirona Care & Health C.I.C.,South West,BS15 9TR,51.462504,-2.500977,Good,3/28/2017,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/1-290660061,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG0267.pdf,included
21,1-293935970,9999,Provider,Independent Healthcare Org,North Somerset Community Partnership Community Interest Company,South West,BS22 7SB,51.36213,-2.900615,Good,3/31/2017,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/1-293935970,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG3506.pdf,included
23,1-328569033,9999,Provider,Independent Healthcare Org,Your Healthcare Community Interest Company,London,KT5 9AL,51.386515,-0.292882,Good,6/9/2017,Good,Requires improvement,Good,Good,Good,http://www.cqc.org.uk/provider/1-328569033,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAF9981.pdf,included
24,1-351584301,9999,Provider,Independent Healthcare Org,Virgin Care Services Limited,North West,WA4 4GE,53.332037,-2.642147,Good,8/25/2017,Good,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/1-351584301,Independent Healthcare Org,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG5716.pdf,included
26,R0A,9999,Provider,NHS Healthcare Organisation,Manchester University NHS Foundation Trust,North West,M13 9WL,53.462436,-2.227711,Good,3/19/2019,Outstanding,Good,Good,Good,Good,http://www.cqc.org.uk/provider/R0A,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH7336.pdf,included
27,R1A,9999,Provider,NHS Healthcare Organisation,Worcestershire Health and Care NHS Trust,West Midlands,WR5 1JR,52.192339,-2.178135,Good,1/21/2020,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/R1A,NHS Healthcare Organisation,Mental health - community & residential - NHS,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6263.pdf,included
28,R1C,9999,Provider,NHS Healthcare Organisation,Solent NHS Trust,South East,SO19 8BR,50.901687,-1.33086,Good,2/27/2019,Outstanding,Good,Good,Good,Good,http://www.cqc.org.uk/provider/R1C,NHS Healthcare Organisation,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH8857.pdf,included
29,R1D,9999,Provider,NHS Healthcare Organisation,Shropshire Community Health NHS Trust,West Midlands,SY3 8XL,52.705844,-2.789366,Good,8/1/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/R1D,NHS Healthcare Organisation,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0499.pdf,included
30,R1F,9999,Provider,NHS Healthcare Organisation,Isle of Wight NHS Trust,South East,PO30 5TG,50.710843,-1.30133,Requires improvement,9/4/2019,Good,Requires improvement,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/R1F,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4026.pdf,included
31,R1H,9999,Provider,NHS Healthcare Organisation,Barts Health NHS Trust,London,E1 2ES,51.517167,-0.05605,Requires improvement,2/12/2019,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/R1H,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3367.pdf,included
32,R1K,9999,Provider,NHS Healthcare Organisation,London North West University Healthcare NHS Trust,London,HA1 3UJ,51.575407,-0.322037,Requires improvement,11/6/2019,Good,Requires improvement,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/R1K,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ7512.pdf,included
33,R1L,9999,Provider,NHS Healthcare Organisation,Essex Partnership University NHS Foundation Trust,East,SS11 7XX,51.633013,0.543374,Good,10/9/2019,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/R1L,NHS Healthcare Organisation,Mental health - community & residential - NHS,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5659.pdf,included
34,RA2,9999,Provider,NHS Healthcare Organisation,Royal Surrey NHS Foundation Trust,South East,GU2 7XX,51.241016,-0.607463,Good,5/25/2018,Good,Good,Outstanding,Good,Good,http://www.cqc.org.uk/provider/RA2,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH0149.pdf,included
35,RA3,9999,Provider,NHS Healthcare Organisation,Weston Area Health NHS Trust,South West,BS23 4TQ,51.322335,-2.971399,Requires improvement,6/26/2019,Good,Good,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RA3,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3244.pdf,included
36,RA4,9999,Provider,NHS Healthcare Organisation,Yeovil District Hospital NHS Foundation Trust,South West,BA21 4AT,50.944843,-2.634712,Requires improvement,5/8/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RA4,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9669.pdf,included
37,RA7,9999,Provider,NHS Healthcare Organisation,University Hospitals Bristol NHS Foundation Trust,South West,BS1 3NU,51.459478,-2.593019,Outstanding,8/16/2019,Outstanding,Good,Good,Requires improvement,Outstanding,http://www.cqc.org.uk/provider/RA7,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4905.pdf,included
38,RA9,9999,Provider,NHS Healthcare Organisation,Torbay and South Devon NHS Foundation Trust,South West,TQ2 7AA,50.482316,-3.553804,Good,5/17/2018,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RA9,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1824.pdf,included
39,RAE,9999,Provider,NHS Healthcare Organisation,Bradford Teaching Hospitals NHS Foundation Trust,Yorkshire & Humberside,BD9 6RJ,53.80598,-1.794697,Requires improvement,6/15/2018,Good,Requires improvement,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RAE,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1901.pdf,included
40,RAJ,9999,Provider,NHS Healthcare Organisation,Southend University Hospital NHS Foundation Trust,East,SS0 0RY,51.553838,0.688617,Requires improvement,4/24/2018,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RAJ,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG9860.pdf,included
41,RAL,9999,Provider,NHS Healthcare Organisation,Royal Free London NHS Foundation Trust,London,NW3 2QG,51.553224,-0.165324,Requires improvement,5/10/2019,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RAL,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0282.pdf,included
42,RAN,9999,Provider,NHS Healthcare Organisation,Royal National Orthopaedic Hospital NHS Trust,London,HA7 4LP,51.632566,-0.310435,Good,3/22/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RAN,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0554.pdf,included
43,RAP,9999,Provider,NHS Healthcare Organisation,North Middlesex University Hospital NHS Trust,London,N18 1QX,51.613094,-0.07375,Requires improvement,10/25/2019,Good,Requires improvement,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RAP,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ7376.pdf,included
44,RAS,9999,Provider,NHS Healthcare Organisation,The Hillingdon Hospitals NHS Foundation Trust,London,UB8 3NN,51.526077,-0.461175,Requires improvement,7/24/2018,Good,Requires improvement,Requires improvement,Inadequate,Requires improvement,http://www.cqc.org.uk/provider/RAS,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2420.pdf,included
45,RAT,9999,Provider,NHS Healthcare Organisation,North East London NHS Foundation Trust,London,RM13 8GQ,51.518578,0.171162,Requires improvement,9/6/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RAT,NHS Healthcare Organisation,Mental health - community & residential - NHS,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4847.pdf,included
46,RAX,9999,Provider,NHS Healthcare Organisation,Kingston Hospital NHS Foundation Trust,London,KT2 7QB,51.414826,-0.282601,Outstanding,8/30/2018,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/RAX,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2865.pdf,included
47,RBA,9999,Provider,NHS Healthcare Organisation,Taunton and Somerset NHS Foundation Trust,South West,TA1 5DA,51.011569,-3.121702,Good,12/5/2017,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RBA,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAG9763.pdf,included
48,RBD,9999,Provider,NHS Healthcare Organisation,Dorset County Hospital NHS Foundation Trust,South West,DT1 2JY,50.71294,-2.446936,Good,11/6/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RBD,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4952.pdf,included
49,RBK,9999,Provider,NHS Healthcare Organisation,Walsall Healthcare NHS Trust,West Midlands,WS2 9PS,52.58233,-1.998924,Requires improvement,7/25/2019,Outstanding,Requires improvement,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RBK,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3518.pdf,included
50,RBL,9999,Provider,NHS Healthcare Organisation,Wirral University Teaching Hospital NHS Foundation Trust,North West,CH49 5PE,53.36964,-3.096815,Requires improvement,7/13/2018,Good,Requires improvement,Requires improvement,Requires improvement,Inadequate,http://www.cqc.org.uk/provider/RBL,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2408.pdf,included
51,RBN,9999,Provider,NHS Healthcare Organisation,St Helens and Knowsley Teaching Hospitals NHS Trust,North West,L35 5DR,53.420469,-2.784954,Outstanding,3/20/2019,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/RBN,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH8288.pdf,included
52,RBQ,9999,Provider,NHS Healthcare Organisation,Liverpool Heart and Chest Hospital NHS Foundation Trust,North West,L14 3PE,53.411151,-2.897989,Outstanding,7/3/2019,Outstanding,Good,Outstanding,Good,Outstanding,http://www.cqc.org.uk/provider/RBQ,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0773.pdf,included
53,RBS,9999,Provider,NHS Healthcare Organisation,Alder Hey Children's NHS Foundation Trust,North West,L12 2AP,53.420242,-2.898723,Good,6/21/2018,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RBS,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4172.pdf,included
54,RBT,9999,Provider,NHS Healthcare Organisation,Mid Cheshire Hospitals NHS Foundation Trust,North West,CW1 4QJ,53.117685,-2.475863,Good,9/19/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RBT,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH2952.pdf,included
55,RBV,9999,Provider,NHS Healthcare Organisation,The Christie NHS Foundation Trust,North West,M20 4BX,53.429767,-2.230125,Outstanding,10/12/2018,Outstanding,Outstanding,Outstanding,Good,Outstanding,http://www.cqc.org.uk/provider/RBV,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4762.pdf,included
56,RBZ,9999,Provider,NHS Healthcare Organisation,Northern Devon Healthcare NHS Trust,South West,EX31 4JB,51.092169,-4.050431,Requires improvement,9/12/2019,Good,Good,Requires improvement,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RBZ,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3961.pdf,included
57,RC1,9999,Provider,NHS Healthcare Organisation,Bedford Hospital NHS Trust,East,MK42 9DJ,52.128265,-0.472495,Requires improvement,12/4/2018,Good,Requires improvement,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RC1,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4978.pdf,included
58,RC9,9999,Provider,NHS Healthcare Organisation,Luton and Dunstable University Hospital NHS Foundation Trust,East,LU4 0DZ,51.894152,-0.474405,Good,12/7/2018,Good,Good,Outstanding,Requires improvement,Good,http://www.cqc.org.uk/provider/RC9,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH5774.pdf,included
59,RCB,9999,Provider,NHS Healthcare Organisation,York Teaching Hospital NHS Foundation Trust,Yorkshire & Humberside,YO31 8HE,53.968952,-1.084285,Requires improvement,10/16/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RCB,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4388.pdf,included
60,RCD,9999,Provider,NHS Healthcare Organisation,Harrogate and District NHS Foundation Trust,Yorkshire & Humberside,HG2 7SX,53.993807,-1.517573,Good,3/14/2019,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RCD,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH7498.pdf,included
61,RCF,9999,Provider,NHS Healthcare Organisation,Airedale NHS Foundation Trust,Yorkshire & Humberside,BD20 6TD,53.898015,-1.962695,Requires improvement,3/14/2019,Good,Good,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RCF,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9765.pdf,included
62,RCU,9999,Provider,NHS Healthcare Organisation,Sheffield Children's NHS Foundation Trust,Yorkshire & Humberside,S10 2TH,53.380599,-1.490629,Good,7/16/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RCU,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ1626.pdf,included
63,RCX,9999,Provider,NHS Healthcare Organisation,The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,East,PE30 4ET,52.75663,0.446694,Inadequate,7/24/2019,Requires improvement,Inadequate,Requires improvement,Inadequate,Inadequate,http://www.cqc.org.uk/provider/RCX,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4351.pdf,included
64,RD1,9999,Provider,NHS Healthcare Organisation,Royal United Hospitals Bath NHS Foundation Trust,South West,BA1 3NG,51.391665,-2.391218,Good,9/26/2018,Outstanding,Good,Requires improvement,Good,Good,http://www.cqc.org.uk/provider/RD1,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH4270.pdf,included
65,RD3,9999,Provider,NHS Healthcare Organisation,Poole Hospital NHS Foundation Trust,South West,BH15 2JB,50.721987,-1.973117,Good,1/31/2020,Outstanding,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RD3,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6843.pdf,included
66,RD8,9999,Provider,NHS Healthcare Organisation,Milton Keynes University Hospital NHS Foundation Trust,South East,MK6 5LD,52.026384,-0.73576,Good,7/30/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RD8,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ2668.pdf,included
67,RDD,9999,Provider,NHS Healthcare Organisation,Basildon and Thurrock University Hospitals NHS Foundation Trust,East,SS16 5NL,51.557679,0.450587,Good,7/10/2019,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RDD,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4901.pdf,included
68,RDE,9999,Provider,NHS Healthcare Organisation,East Suffolk and North Essex NHS Foundation Trust,East,CO4 5JL,51.910164,0.899182,Requires improvement,1/8/2020,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RDE,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4307.pdf,included
69,RDR,9999,Provider,NHS Healthcare Organisation,Sussex Community NHS Foundation Trust,South East,BN2 3EW,50.83046,-0.115477,Good,7/30/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/RDR,NHS Healthcare Organisation,Community health - NHS & Independent,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH5350.pdf,included
70,RDU,9999,Provider,NHS Healthcare Organisation,Frimley Health NHS Foundation Trust,South East,GU16 7UJ,51.319666,-0.742029,Good,3/13/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/RDU,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH8959.pdf,included
71,RDY,9999,Provider,NHS Healthcare Organisation,Dorset Healthcare University NHS Foundation Trust,South West,BH17 0RB,50.740073,-1.978038,Outstanding,7/31/2019,Outstanding,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/RDY,NHS Healthcare Organisation,Mental health - community & residential - NHS,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ3474.pdf,included
72,RDZ,9999,Provider,NHS Healthcare Organisation,The Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust,South West,BH7 7DW,50.747482,-1.82052,Good,6/18/2018,Good,Good,Good,Good,Outstanding,http://www.cqc.org.uk/provider/RDZ,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1895.pdf,included
73,REF,9999,Provider,NHS Healthcare Organisation,Royal Cornwall Hospitals NHS Trust,South West,TR1 3LJ,50.266686,-5.091464,Requires improvement,12/14/2018,Good,Requires improvement,Requires improvement,Requires improvement,Inadequate,http://www.cqc.org.uk/provider/REF,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH9437.pdf,included
74,REM,9999,Provider,NHS Healthcare Organisation,Liverpool University Hospitals NHS Foundation Trust,North West,L7 8XP,53.409506,-2.964809,Good,9/26/2019,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/REM,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ5543.pdf,included
75,REN,9999,Provider,NHS Healthcare Organisation,The Clatterbridge Cancer Centre NHS Foundation Trust,North West,CH63 4JY,53.332884,-3.024137,Good,4/16/2019,Outstanding,Good,Good,Good,Requires improvement,http://www.cqc.org.uk/provider/REN,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ0117.pdf,included
76,REP,9999,Provider,NHS Healthcare Organisation,Liverpool Women's NHS Foundation Trust,North West,L8 7SS,53.398461,-2.960077,Good,8/8/2018,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/REP,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1645.pdf,included
77,RET,9999,Provider,NHS Healthcare Organisation,The Walton Centre NHS Foundation Trust,North West,L9 7LJ,53.466395,-2.931,Outstanding,8/19/2019,Outstanding,Outstanding,Good,Good,Good,http://www.cqc.org.uk/provider/RET,NHS Healthcare Organisation,Acute hospital - NHS specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ4050.pdf,included
78,RF4,9999,Provider,NHS Healthcare Organisation,"Barking, Havering and Redbridge University Hospitals NHS Trust",London,RM7 0AG,51.568647,0.179031,Requires improvement,1/9/2020,Good,Good,Requires improvement,Requires improvement,Good,http://www.cqc.org.uk/provider/RF4,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAJ6543.pdf,included
79,RFF,9999,Provider,NHS Healthcare Organisation,Barnsley Hospital NHS Foundation Trust,Yorkshire & Humberside,S75 2EP,53.559132,-1.499493,Good,3/14/2018,Good,Good,Good,Requires improvement,Good,http://www.cqc.org.uk/provider/RFF,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH1970.pdf,included
80,RFR,9999,Provider,NHS Healthcare Organisation,The Rotherham NHS Foundation Trust,Yorkshire & Humberside,S60 2UD,53.413972,-1.34288,Requires improvement,3/18/2019,Good,Requires improvement,Good,Requires improvement,Requires improvement,http://www.cqc.org.uk/provider/RFR,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH7457.pdf,included
81,RFS,9999,Provider,NHS Healthcare Organisation,Chesterfield Royal Hospital NHS Foundation Trust,East Midlands,S44 5BL,53.236214,-1.400051,Good,1/25/2019,Good,Good,Good,Good,Good,http://www.cqc.org.uk/provider/RFS,NHS Healthcare Organisation,Acute hospital - NHS non-specialist,https://www.cqc.org.uk/sites/default/files/new_reports/AAAH7398.pdf,included
